Time,Open,High,Low,Close,Volume
"Sep 22, 2021",167.0,174.0,167.0,169.0,27.12M
"Sep 21, 2021",165.0,168.0,161.0,167.0,22.46M
"Sep 20, 2021",176.0,177.0,164.0,165.0,90.67M
"Sep 17, 2021",178.0,180.0,175.0,176.0,32.43M
"Sep 16, 2021",179.0,182.0,178.0,178.0,24.42M
"Sep 15, 2021",182.0,186.0,178.0,179.0,74.59M
"Sep 14, 2021",172.0,184.0,172.0,183.0,129.07M
"Sep 13, 2021",172.0,173.0,170.0,172.0,19.22M
"Sep 10, 2021",172.0,175.0,171.0,172.0,12.13M
"Sep 09, 2021",175.0,180.0,169.0,172.0,45.65M
"Sep 08, 2021",176.0,183.0,176.0,177.0,74.39M
"Sep 07, 2021",178.0,181.0,173.0,176.0,46.19M
"Sep 06, 2021",171.0,182.0,169.0,177.0,83.72M
"Sep 03, 2021",175.0,189.0,168.0,172.0,366.48M
"Sep 02, 2021",160.0,172.0,160.0,172.0,112.38M
"Sep 01, 2021",162.0,163.0,159.0,160.0,9.61M
"Aug 31, 2021",161.0,163.0,159.0,162.0,16.16M
"Aug 30, 2021",156.0,161.0,155.0,161.0,15.57M
"Aug 27, 2021",157.0,160.0,154.0,155.0,13.37M
"Aug 26, 2021",160.0,161.0,157.0,157.0,8.15M
"Aug 25, 2021",161.0,163.0,160.0,160.0,12.61M
"Aug 24, 2021",160.0,164.0,159.0,160.0,26.85M
"Aug 23, 2021",154.0,159.0,152.0,159.0,19.29M
"Aug 20, 2021",152.0,156.0,151.0,152.0,18.65M
"Aug 19, 2021",158.0,161.0,152.0,152.0,28.67M
"Aug 18, 2021",156.0,160.0,148.0,159.0,63.59M
"Aug 16, 2021",159.0,160.0,155.0,156.0,18.76M
"Aug 13, 2021",160.0,161.0,157.0,158.0,14.19M
"Aug 12, 2021",159.0,162.0,159.0,159.0,11.22M
"Aug 10, 2021",161.0,163.0,158.0,160.0,15.48M
"Aug 09, 2021",160.0,167.0,160.0,161.0,44.45M
"Aug 06, 2021",165.0,166.0,159.0,160.0,27.47M
"Aug 05, 2021",162.0,168.0,161.0,163.0,56.91M
"Aug 04, 2021",160.0,163.0,158.0,161.0,22.29M
"Aug 03, 2021",157.0,161.0,156.0,160.0,17.89M
"Aug 02, 2021",157.0,159.0,155.0,157.0,10.16M
"Jul 30, 2021",160.0,163.0,156.0,156.0,12.31M
"Jul 29, 2021",156.0,161.0,155.0,160.0,18.77M
"Jul 28, 2021",159.0,161.0,156.0,156.0,11.68M
"Jul 27, 2021",162.0,163.0,158.0,159.0,12.11M
"Jul 26, 2021",162.0,166.0,161.0,162.0,15.24M
"Jul 23, 2021",165.0,168.0,162.0,164.0,13.30M
"Jul 22, 2021",160.0,165.0,160.0,165.0,32.63M
"Jul 21, 2021",154.0,162.0,154.0,160.0,30.59M
"Jul 19, 2021",157.0,159.0,154.0,155.0,13.51M
"Jul 16, 2021",157.0,159.0,157.0,157.0,9.94M
"Jul 15, 2021",158.0,160.0,157.0,157.0,6.13M
"Jul 14, 2021",159.0,160.0,156.0,158.0,20.45M
"Jul 13, 2021",164.0,174.0,159.0,159.0,81.17M
"Jul 12, 2021",159.0,163.0,158.0,163.0,32.81M
"Jul 09, 2021",160.0,163.0,158.0,158.0,16.54M
"Jul 08, 2021",160.0,162.0,160.0,161.0,10.10M
"Jul 07, 2021",162.0,165.0,160.0,161.0,11.73M
