Time,Open,High,Low,Close,Volume
"Sep 22, 2021",32500.0,32900.0,32500.0,32775.0,13.74M
"Sep 21, 2021",32550.0,32675.0,32350.0,32450.0,11.42M
"Sep 20, 2021",32850.0,32950.0,32550.0,32925.0,14.63M
"Sep 17, 2021",32450.0,32675.0,32400.0,32600.0,23.51M
"Sep 16, 2021",32900.0,32900.0,32400.0,32500.0,11.73M
"Sep 15, 2021",32725.0,32750.0,32425.0,32475.0,8.90M
"Sep 14, 2021",32950.0,32975.0,32475.0,32725.0,10.40M
"Sep 13, 2021",32800.0,32800.0,32625.0,32775.0,5.99M
"Sep 10, 2021",32475.0,32825.0,32475.0,32600.0,8.30M
"Sep 09, 2021",32050.0,32850.0,32050.0,32850.0,22.01M
"Sep 08, 2021",32750.0,32975.0,32100.0,32200.0,15.58M
"Sep 07, 2021",32975.0,33025.0,32850.0,32850.0,10.78M
"Sep 06, 2021",33000.0,33025.0,32750.0,32875.0,7.36M
"Sep 03, 2021",32800.0,33000.0,32575.0,33000.0,7.15M
"Sep 02, 2021",32625.0,32875.0,32275.0,32700.0,10.65M
"Sep 01, 2021",32750.0,33000.0,32675.0,32825.0,13.47M
"Aug 31, 2021",32600.0,32850.0,32575.0,32750.0,23.07M
"Aug 30, 2021",32650.0,32900.0,32600.0,32825.0,14.91M
"Aug 27, 2021",32450.0,32650.0,32450.0,32550.0,14.31M
"Aug 26, 2021",32800.0,32900.0,32350.0,32800.0,14.87M
"Aug 25, 2021",33000.0,33025.0,32925.0,33000.0,16.15M
"Aug 24, 2021",32850.0,33000.0,32500.0,33000.0,11.91M
"Aug 23, 2021",32575.0,32950.0,32575.0,32950.0,13.65M
"Aug 20, 2021",33000.0,33000.0,32550.0,33000.0,24.03M
"Aug 19, 2021",33000.0,33000.0,32650.0,33000.0,20.19M
"Aug 18, 2021",32600.0,33800.0,32300.0,33000.0,37.27M
"Aug 16, 2021",32100.0,32100.0,31525.0,32100.0,13.86M
"Aug 13, 2021",31750.0,32175.0,31625.0,32050.0,17.39M
"Aug 12, 2021",30600.0,31600.0,30600.0,31500.0,23.67M
"Aug 10, 2021",31250.0,31500.0,30575.0,31500.0,12.09M
"Aug 09, 2021",30675.0,31000.0,30525.0,31000.0,10.57M
"Aug 06, 2021",31800.0,31800.0,30675.0,30800.0,13.46M
"Aug 05, 2021",30850.0,31550.0,30700.0,31500.0,18.75M
"Aug 04, 2021",30725.0,30750.0,30300.0,30600.0,8.22M
"Aug 03, 2021",30125.0,30900.0,29925.0,30725.0,22.01M
"Aug 02, 2021",30300.0,30325.0,29525.0,29800.0,24.00M
"Jul 30, 2021",30200.0,30500.0,29800.0,29850.0,21.14M
"Jul 29, 2021",30275.0,30425.0,29900.0,30200.0,16.92M
"Jul 28, 2021",30025.0,30050.0,29850.0,29900.0,14.83M
"Jul 27, 2021",30025.0,30300.0,30000.0,30025.0,10.62M
"Jul 26, 2021",30200.0,30300.0,30025.0,30025.0,9.63M
"Jul 23, 2021",30900.0,30950.0,30125.0,30175.0,15.99M
"Jul 22, 2021",30575.0,30775.0,30250.0,30775.0,12.16M
"Jul 21, 2021",30250.0,30600.0,30050.0,30050.0,11.00M
"Jul 19, 2021",30550.0,30550.0,30025.0,30025.0,9.42M
"Jul 16, 2021",30850.0,30850.0,30275.0,30550.0,9.60M
"Jul 15, 2021",30000.0,30575.0,29975.0,30575.0,9.94M
"Jul 14, 2021",30100.0,30150.0,29900.0,29950.0,11.86M
"Jul 13, 2021",30850.0,30875.0,30075.0,30225.0,13.19M
"Jul 12, 2021",30350.0,30900.0,30100.0,30850.0,13.20M
"Jul 09, 2021",30050.0,30100.0,29950.0,30100.0,8.14M
"Jul 08, 2021",30000.0,30200.0,29900.0,30075.0,9.46M
"Jul 07, 2021",30900.0,30900.0,30150.0,30325.0,7.12M
"Jul 06, 2021",30550.0,30550.0,30275.0,30275.0,6.86M
"Jul 05, 2021",30500.0,30650.0,30350.0,30550.0,7.94M
"Jul 02, 2021",30350.0,30700.0,30200.0,30500.0,13.48M
"Jul 01, 2021",30300.0,30375.0,30000.0,30125.0,11.63M
"Jun 30, 2021",30000.0,30350.0,30000.0,30125.0,13.16M
"Jun 29, 2021",30250.0,30450.0,30200.0,30225.0,10.74M
"Jun 28, 2021",30500.0,30750.0,30275.0,30275.0,16.88M
"Jun 25, 2021",31150.0,31300.0,30950.0,30950.0,13.79M
"Jun 24, 2021",31550.0,31550.0,31000.0,31050.0,11.20M
"Jun 23, 2021",31475.0,31700.0,31150.0,31150.0,10.49M
"Jun 22, 2021",31250.0,31950.0,31200.0,31700.0,13.16M
"Jun 21, 2021",31500.0,31500.0,31050.0,31250.0,12.16M
"Jun 18, 2021",31500.0,31725.0,31400.0,31625.0,23.61M
"Jun 17, 2021",31950.0,31950.0,31375.0,31650.0,13.69M
"Jun 16, 2021",32100.0,32175.0,31800.0,31925.0,9.80M
"Jun 15, 2021",32225.0,32350.0,32025.0,32350.0,17.56M
"Jun 14, 2021",32600.0,32600.0,32000.0,32050.0,12.30M
"Jun 11, 2021",32850.0,32900.0,32300.0,32350.0,14.56M
"Jun 10, 2021",32775.0,33100.0,32450.0,33100.0,14.65M
"Jun 09, 2021",31800.0,32675.0,31800.0,32650.0,15.44M
"Jun 08, 2021",32875.0,32875.0,32150.0,32150.0,12.87M
"Jun 07, 2021",32800.0,32850.0,32150.0,32650.0,12.52M
"Jun 04, 2021",33100.0,33100.0,32500.0,32900.0,12.42M
"Jun 03, 2021",32475.0,33000.0,32150.0,33000.0,26.76M
"Jun 02, 2021",32500.0,32575.0,32100.0,32325.0,28.35M
"May 31, 2021",31800.0,31950.0,31625.0,31875.0,20.29M
"May 28, 2021",31650.0,31850.0,31650.0,31700.0,20.42M
"May 27, 2021",32200.0,32400.0,31350.0,31350.0,107.59M
"May 25, 2021",31500.0,32200.0,31500.0,31775.0,17.49M
"May 24, 2021",31775.0,31900.0,31450.0,31625.0,11.84M
"May 21, 2021",32250.0,32250.0,31300.0,31800.0,18.52M
"May 20, 2021",31950.0,32175.0,31750.0,31900.0,12.99M
"May 19, 2021",31900.0,32000.0,31675.0,31725.0,12.98M
"May 18, 2021",32000.0,32275.0,31825.0,31950.0,14.71M
"May 17, 2021",32500.0,32500.0,31875.0,32500.0,25.81M
"May 11, 2021",32000.0,32400.0,31525.0,32400.0,14.14M
"May 10, 2021",32000.0,32100.0,31975.0,32100.0,13.64M
"May 07, 2021",32300.0,32300.0,31925.0,32000.0,9.77M
"May 06, 2021",32000.0,32250.0,32000.0,32125.0,7.62M
"May 05, 2021",32100.0,32150.0,32000.0,32125.0,10.34M
"May 04, 2021",31750.0,32150.0,31700.0,32000.0,10.02M
"May 03, 2021",32400.0,32400.0,31725.0,31950.0,8.41M
"Apr 30, 2021",32250.0,32250.0,31900.0,32025.0,13.17M
"Apr 29, 2021",32300.0,32300.0,31800.0,32050.0,11.47M
"Apr 28, 2021",32000.0,32025.0,31575.0,31600.0,17.53M
"Apr 27, 2021",31850.0,32175.0,31775.0,32025.0,26.53M
"Apr 26, 2021",31975.0,32000.0,31400.0,31425.0,21.75M
"Apr 23, 2021",31400.0,31975.0,31125.0,31950.0,21.70M
"Apr 22, 2021",31000.0,31375.0,30900.0,31075.0,12.75M
"Apr 21, 2021",31000.0,31125.0,30825.0,30825.0,13.68M
"Apr 20, 2021",31000.0,31250.0,30925.0,31175.0,14.54M
"Apr 19, 2021",31375.0,31400.0,31150.0,31350.0,9.42M
"Apr 16, 2021",31850.0,31850.0,31075.0,31375.0,15.86M
"Apr 15, 2021",31525.0,31550.0,30900.0,31400.0,20.54M
"Apr 14, 2021",30525.0,31525.0,30300.0,31525.0,27.10M
"Apr 13, 2021",30250.0,30300.0,29900.0,30000.0,23.84M
"Apr 12, 2021",31475.0,31475.0,30300.0,30325.0,22.08M
"Apr 09, 2021",31575.0,31600.0,30725.0,31000.0,23.39M
"Apr 08, 2021",31000.0,31075.0,30625.0,30675.0,24.74M
"Apr 07, 2021",30775.0,31375.0,30675.0,31250.0,21.58M
"Apr 06, 2021",30675.0,30850.0,30400.0,30825.0,16.04M
"Apr 05, 2021",31250.0,31450.0,30775.0,30775.0,14.66M
"Apr 01, 2021",31075.0,31350.0,30775.0,31125.0,22.46M
"Mar 31, 2021",31950.0,31975.0,30725.0,31075.0,44.68M
"Mar 30, 2021",31850.0,32275.0,31850.0,31975.0,16.62M
"Mar 29, 2021",32050.0,32575.0,31800.0,31800.0,22.67M
"Mar 26, 2021",31850.0,32225.0,31500.0,32075.0,26.89M
"Mar 25, 2021",32000.0,32200.0,31650.0,31850.0,23.82M
"Mar 24, 2021",32575.0,32750.0,32100.0,32200.0,30.41M
"Mar 23, 2021",33600.0,33600.0,32775.0,32825.0,25.55M
"Mar 22, 2021",33200.0,33400.0,33050.0,33100.0,13.50M
"Mar 19, 2021",33850.0,33850.0,33125.0,33800.0,25.17M
"Mar 18, 2021",33100.0,33600.0,33050.0,33525.0,14.01M
"Mar 17, 2021",33250.0,33325.0,33025.0,33050.0,14.29M
"Mar 16, 2021",33550.0,33550.0,33100.0,33125.0,14.15M
"Mar 15, 2021",34075.0,34100.0,33325.0,33325.0,11.48M
"Mar 12, 2021",34375.0,34400.0,33575.0,33825.0,14.87M
"Mar 10, 2021",33600.0,33600.0,33100.0,33525.0,10.06M
"Mar 09, 2021",33500.0,33575.0,33000.0,33025.0,27.12M
"Mar 08, 2021",34750.0,34750.0,33600.0,33600.0,18.18M
"Mar 05, 2021",33600.0,34625.0,33600.0,34000.0,22.37M
"Mar 04, 2021",34525.0,35000.0,33600.0,33600.0,24.16M
"Mar 03, 2021",35325.0,35425.0,35000.0,35000.0,16.89M
"Mar 02, 2021",35600.0,35800.0,35000.0,35075.0,16.29M
