Time,Open,High,Low,Close,Volume
"Sep 22, 2021",955.0,980.0,950.0,975.0,23.12M
"Sep 21, 2021",950.0,965.0,920.0,955.0,41.61M
"Sep 20, 2021",975.0,975.0,950.0,955.0,30.29M
"Sep 17, 2021",980.0,980.0,960.0,980.0,22.08M
"Sep 16, 2021",1005.0,1005.0,970.0,980.0,40.93M
"Sep 15, 2021",985.0,1015.0,980.0,1000.0,34.23M
"Sep 14, 2021",980.0,1000.0,975.0,990.0,23.41M
"Sep 13, 2021",985.0,990.0,965.0,970.0,24.08M
"Sep 10, 2021",1000.0,1010.0,990.0,990.0,15.96M
"Sep 09, 2021",995.0,1015.0,960.0,995.0,51.58M
"Sep 08, 2021",1020.0,1035.0,985.0,985.0,61.80M
"Sep 07, 2021",990.0,1035.0,990.0,1010.0,95.67M
"Sep 06, 2021",985.0,1000.0,970.0,985.0,34.72M
"Sep 03, 2021",960.0,990.0,960.0,985.0,45.65M
"Sep 02, 2021",940.0,965.0,940.0,960.0,18.35M
"Sep 01, 2021",960.0,970.0,940.0,940.0,17.81M
"Aug 31, 2021",945.0,965.0,940.0,960.0,27.09M
"Aug 30, 2021",920.0,980.0,920.0,945.0,38.93M
"Aug 27, 2021",910.0,920.0,910.0,910.0,18.09M
"Aug 26, 2021",925.0,925.0,910.0,910.0,12.13M
"Aug 25, 2021",920.0,935.0,915.0,920.0,7.82M
"Aug 24, 2021",950.0,955.0,915.0,920.0,16.48M
"Aug 23, 2021",935.0,950.0,915.0,950.0,37.45M
"Aug 20, 2021",910.0,925.0,895.0,910.0,22.29M
"Aug 19, 2021",910.0,920.0,895.0,905.0,35.11M
"Aug 18, 2021",890.0,950.0,885.0,910.0,79.86M
"Aug 16, 2021",915.0,920.0,885.0,890.0,55.94M
"Aug 13, 2021",900.0,910.0,890.0,900.0,23.77M
"Aug 12, 2021",915.0,915.0,890.0,900.0,30.78M
"Aug 10, 2021",910.0,915.0,890.0,900.0,31.04M
"Aug 09, 2021",935.0,935.0,890.0,900.0,37.26M
"Aug 06, 2021",950.0,955.0,920.0,930.0,16.40M
"Aug 05, 2021",940.0,950.0,935.0,945.0,12.80M
"Aug 04, 2021",945.0,950.0,925.0,935.0,16.17M
"Aug 03, 2021",935.0,955.0,925.0,945.0,11.15M
"Aug 02, 2021",935.0,950.0,915.0,935.0,16.98M
"Jul 30, 2021",935.0,960.0,920.0,935.0,19.69M
"Jul 29, 2021",925.0,945.0,915.0,935.0,21.87M
"Jul 28, 2021",940.0,940.0,920.0,925.0,15.14M
"Jul 27, 2021",965.0,965.0,930.0,940.0,18.97M
"Jul 26, 2021",970.0,980.0,955.0,955.0,9.63M
"Jul 23, 2021",980.0,990.0,955.0,970.0,9.60M
"Jul 22, 2021",975.0,990.0,965.0,980.0,14.89M
"Jul 21, 2021",955.0,980.0,945.0,950.0,15.19M
"Jul 19, 2021",950.0,955.0,935.0,945.0,7.68M
"Jul 16, 2021",925.0,955.0,920.0,950.0,12.24M
"Jul 15, 2021",910.0,945.0,905.0,920.0,16.58M
"Jul 14, 2021",910.0,925.0,885.0,910.0,19.66M
"Jul 13, 2021",940.0,945.0,905.0,910.0,13.82M
"Jul 12, 2021",950.0,965.0,925.0,930.0,19.93M
"Jul 09, 2021",960.0,970.0,945.0,950.0,10.42M
"Jul 08, 2021",980.0,985.0,955.0,960.0,10.94M
"Jul 07, 2021",990.0,1000.0,970.0,980.0,6.87M
"Jul 06, 2021",975.0,1005.0,960.0,990.0,14.28M
"Jul 05, 2021",970.0,980.0,960.0,970.0,7.77M
"Jul 02, 2021",955.0,975.0,950.0,970.0,8.23M
"Jul 01, 2021",975.0,990.0,945.0,955.0,9.48M
"Jun 30, 2021",950.0,985.0,950.0,965.0,17.71M
"Jun 29, 2021",950.0,970.0,930.0,950.0,15.88M
"Jun 28, 2021",990.0,995.0,955.0,955.0,14.56M
"Jun 25, 2021",995.0,995.0,975.0,990.0,10.13M
"Jun 24, 2021",980.0,1005.0,970.0,995.0,9.67M
"Jun 23, 2021",1015.0,1015.0,980.0,980.0,6.64M
"Jun 22, 2021",975.0,1015.0,975.0,1000.0,24.00M
"Jun 21, 2021",975.0,975.0,945.0,965.0,22.84M
"Jun 18, 2021",1005.0,1010.0,960.0,985.0,32.21M
"Jun 17, 2021",1005.0,1010.0,980.0,1000.0,36.71M
"Jun 16, 2021",1015.0,1025.0,1005.0,1015.0,18.33M
"Jun 15, 2021",1040.0,1050.0,1015.0,1015.0,20.73M
"Jun 14, 2021",1025.0,1060.0,1025.0,1040.0,32.20M
"Jun 11, 2021",1050.0,1060.0,1020.0,1025.0,50.80M
"Jun 10, 2021",1045.0,1060.0,1040.0,1050.0,25.23M
"Jun 09, 2021",1085.0,1085.0,1040.0,1045.0,48.26M
"Jun 08, 2021",1090.0,1100.0,1080.0,1085.0,15.84M
"Jun 07, 2021",1120.0,1120.0,1095.0,1100.0,13.64M
"Jun 04, 2021",1135.0,1135.0,1110.0,1110.0,24.11M
"Jun 03, 2021",1145.0,1150.0,1120.0,1130.0,23.14M
"Jun 02, 2021",1150.0,1150.0,1130.0,1140.0,22.66M
"May 31, 2021",1120.0,1130.0,1110.0,1120.0,18.91M
"May 28, 2021",1130.0,1140.0,1115.0,1115.0,10.98M
"May 27, 2021",1130.0,1140.0,1130.0,1130.0,14.06M
"May 25, 2021",1130.0,1145.0,1125.0,1125.0,12.90M
"May 24, 2021",1125.0,1145.0,1125.0,1130.0,2.75M
"May 21, 2021",1140.0,1150.0,1120.0,1130.0,4.51M
"May 20, 2021",1130.0,1145.0,1125.0,1140.0,4.82M
"May 19, 2021",1155.0,1155.0,1135.0,1145.0,4.53M
"May 18, 2021",1165.0,1170.0,1110.0,1155.0,15.92M
"May 17, 2021",1175.0,1190.0,1150.0,1155.0,8.23M
"May 11, 2021",1190.0,1200.0,1180.0,1190.0,8.26M
"May 10, 2021",1175.0,1205.0,1175.0,1200.0,8.05M
"May 07, 2021",1200.0,1210.0,1175.0,1175.0,7.53M
"May 06, 2021",1195.0,1210.0,1195.0,1200.0,7.00M
"May 05, 2021",1200.0,1215.0,1180.0,1195.0,15.95M
"May 04, 2021",1220.0,1225.0,1185.0,1190.0,31.92M
"May 03, 2021",1180.0,1220.0,1175.0,1205.0,42.57M
"Apr 30, 2021",1175.0,1205.0,1165.0,1175.0,16.11M
"Apr 29, 2021",1170.0,1185.0,1165.0,1165.0,14.69M
"Apr 28, 2021",1195.0,1200.0,1165.0,1175.0,13.50M
"Apr 27, 2021",1150.0,1200.0,1145.0,1195.0,46.43M
"Apr 26, 2021",1145.0,1155.0,1135.0,1150.0,7.84M
"Apr 23, 2021",1155.0,1165.0,1140.0,1145.0,15.06M
"Apr 22, 2021",1170.0,1180.0,1145.0,1155.0,7.70M
"Apr 21, 2021",1180.0,1190.0,1170.0,1170.0,8.64M
"Apr 20, 2021",1195.0,1215.0,1170.0,1195.0,14.64M
"Apr 19, 2021",1140.0,1200.0,1125.0,1195.0,39.31M
"Apr 16, 2021",1145.0,1150.0,1125.0,1140.0,23.88M
"Apr 15, 2021",1145.0,1155.0,1125.0,1135.0,9.83M
"Apr 14, 2021",1140.0,1170.0,1125.0,1145.0,15.24M
"Apr 13, 2021",1130.0,1140.0,1115.0,1120.0,19.26M
"Apr 12, 2021",1185.0,1195.0,1140.0,1140.0,13.96M
"Apr 09, 2021",1190.0,1210.0,1165.0,1185.0,8.56M
"Apr 08, 2021",1200.0,1200.0,1185.0,1190.0,5.32M
"Apr 07, 2021",1200.0,1200.0,1175.0,1200.0,5.87M
"Apr 06, 2021",1145.0,1195.0,1135.0,1180.0,14.61M
"Apr 05, 2021",1135.0,1170.0,1120.0,1145.0,14.06M
"Apr 01, 2021",1125.0,1135.0,1105.0,1120.0,6.52M
"Mar 31, 2021",1155.0,1155.0,1105.0,1120.0,30.90M
"Mar 30, 2021",1175.0,1210.0,1155.0,1165.0,14.12M
"Mar 29, 2021",1200.0,1215.0,1195.0,1205.0,14.20M
"Mar 26, 2021",1185.0,1205.0,1155.0,1190.0,20.27M
"Mar 25, 2021",1175.0,1180.0,1145.0,1165.0,17.27M
"Mar 24, 2021",1200.0,1205.0,1160.0,1175.0,28.70M
"Mar 23, 2021",1215.0,1230.0,1190.0,1200.0,17.26M
"Mar 22, 2021",1250.0,1250.0,1210.0,1210.0,7.22M
"Mar 19, 2021",1240.0,1255.0,1225.0,1225.0,8.93M
"Mar 18, 2021",1265.0,1270.0,1245.0,1245.0,12.83M
"Mar 17, 2021",1280.0,1280.0,1235.0,1250.0,17.98M
"Mar 16, 2021",1270.0,1285.0,1260.0,1280.0,32.73M
"Mar 15, 2021",1280.0,1285.0,1265.0,1270.0,23.68M
"Mar 12, 2021",1270.0,1280.0,1255.0,1270.0,57.86M
"Mar 10, 2021",1200.0,1265.0,1200.0,1260.0,57.51M
"Mar 09, 2021",1210.0,1220.0,1180.0,1190.0,17.92M
"Mar 08, 2021",1220.0,1235.0,1200.0,1210.0,18.07M
"Mar 05, 2021",1200.0,1220.0,1190.0,1205.0,26.41M
"Mar 04, 2021",1235.0,1240.0,1200.0,1235.0,18.99M
"Mar 03, 2021",1280.0,1280.0,1220.0,1250.0,45.05M
"Mar 02, 2021",1300.0,1325.0,1250.0,1265.0,68.64M
"Mar 01, 2021",1165.0,1300.0,1165.0,1270.0,141.62M
"Feb 26, 2021",1160.0,1190.0,1145.0,1160.0,40.09M
"Feb 25, 2021",1210.0,1230.0,1200.0,1205.0,8.85M
"Feb 24, 2021",1205.0,1225.0,1190.0,1200.0,28.37M
"Feb 23, 2021",1255.0,1260.0,1185.0,1205.0,42.39M
"Feb 22, 2021",1265.0,1275.0,1230.0,1260.0,29.32M
"Feb 19, 2021",1255.0,1285.0,1230.0,1255.0,43.59M
"Feb 18, 2021",1245.0,1275.0,1240.0,1255.0,51.05M
"Feb 17, 2021",1225.0,1245.0,1210.0,1235.0,27.56M
"Feb 16, 2021",1265.0,1275.0,1220.0,1225.0,33.20M
"Feb 15, 2021",1220.0,1265.0,1210.0,1260.0,33.49M
"Feb 11, 2021",1225.0,1225.0,1200.0,1215.0,5.57M
"Feb 10, 2021",1205.0,1215.0,1185.0,1215.0,23.27M
"Feb 09, 2021",1230.0,1240.0,1200.0,1205.0,26.50M
"Feb 08, 2021",1195.0,1235.0,1170.0,1225.0,31.91M
"Feb 05, 2021",1160.0,1180.0,1145.0,1170.0,12.95M
"Feb 04, 2021",1170.0,1175.0,1125.0,1140.0,11.22M
"Feb 03, 2021",1170.0,1195.0,1140.0,1170.0,27.83M
"Feb 02, 2021",1195.0,1200.0,1120.0,1145.0,30.32M
"Feb 01, 2021",1115.0,1240.0,1090.0,1185.0,56.71M
"Jan 29, 2021",1100.0,1135.0,1075.0,1125.0,32.85M
"Jan 28, 2021",1125.0,1145.0,1070.0,1085.0,32.71M
"Jan 27, 2021",1120.0,1150.0,1070.0,1150.0,36.01M
"Jan 26, 2021",1150.0,1175.0,1110.0,1120.0,39.73M
